game_id,team1_id,team2_id,team1_won,kill_diff,dragon_diff,rift_herald_diff,tower_diff,grub_diff,first_blood,first_dragon,first_herald
18101,250,491,0,-1,0,-1,0,0,team2,none,team2
18102,452,539,0,1,0,1,0,0,team1,none,team1
18103,242,245,0,0,0,1,0,0,none,none,team1
18104,215,328,1,-1,0,1,1,0,team2,none,team1
18105,137,457,0,1,0,1,0,0,team1,none,team1
18106,327,549,1,1,0,-1,0,0,team1,none,team2
18107,455,458,0,-2,0,0,0,0,team1,none,none
18108,143,145,0,-2,0,-1,0,0,team2,none,team2
18109,441,452,1,1,0,1,0,0,team1,none,team1
18110,242,549,0,-1,0,1,0,0,team2,none,team1
18111,137,450,0,1,0,-1,0,0,team1,none,team2
18112,327,328,1,-2,0,-1,0,0,team2,none,team2
18113,458,539,0,0,0,0,0,0,team2,none,none
18114,245,250,1,3,0,1,0,0,team1,none,team1
18115,145,457,0,-1,0,-1,0,0,team2,none,team2
18116,215,491,0,0,0,-1,0,0,team2,none,team2
18117,143,455,0,0,0,1,0,0,team1,none,team1
18118,250,549,0,-2,0,0,0,0,team2,none,none
18119,215,242,0,-1,0,-1,0,0,team2,none,team2
18120,145,458,0,0,0,-1,0,0,team1,none,team2
18121,328,491,0,3,0,-1,0,0,team1,none,team2
18122,137,455,1,-1,0,-1,0,0,team2,none,team2
18123,452,457,1,1,0,1,0,0,team1,none,team1
18124,245,327,1,0,0,-1,0,0,none,none,team2
18125,441,539,1,-2,0,1,0,0,team1,none,team1
18126,215,245,1,2,0,-1,0,0,team1,none,team2
18127,143,450,0,-2,0,-1,0,0,team2,none,team2
18128,250,327,0,-1,0,-1,0,0,team2,none,team2
18129,457,539,1,1,0,-1,0,0,none,none,team2
18130,242,491,1,-1,0,1,0,0,team2,none,team1
18131,450,455,1,-3,0,-1,0,0,team2,none,team2
18132,328,549,0,-2,0,0,0,0,team2,none,none
18133,145,441,0,0,0,1,0,0,none,none,team1
18134,245,491,0,-2,0,-1,0,0,team1,none,team2
18135,452,458,0,2,0,-1,0,0,team1,none,team2
18136,242,327,1,0,0,1,0,0,team1,none,team1
18137,250,328,1,1,0,-1,0,0,team1,none,team2
18138,137,143,0,1,0,1,0,0,team1,none,team1
18139,215,549,0,-2,0,-1,0,0,team1,none,team2
18140,145,455,1,-1,0,1,0,0,team1,none,team1
18141,242,328,0,-1,0,-1,0,0,none,none,team2
18142,457,458,0,0,0,1,0,0,team1,none,team1
18143,215,250,1,2,0,1,0,0,team1,none,team1
18144,137,539,0,-2,0,0,0,0,team2,none,none
18145,245,549,0,0,0,1,0,0,team2,none,team1
18146,450,452,0,-1,0,1,0,0,team2,none,team1
18147,327,491,1,3,0,1,0,0,team1,none,team1
18148,143,441,1,1,0,1,0,0,team1,none,team1
18149,137,452,1,3,0,1,0,0,team1,none,team1
18150,242,250,1,-3,0,1,0,0,team2,none,team1
18151,441,458,0,0,0,-1,0,0,none,none,team2
18152,245,328,0,-5,0,-1,-2,0,team2,none,team2
18153,491,549,0,-1,0,-1,0,0,team2,none,team2
18154,145,450,0,-3,0,-1,0,0,team2,none,team2
18155,215,327,0,-1,0,0,0,0,team2,none,none
18156,455,539,0,1,0,1,0,0,team1,none,team1
18157,143,457,0,1,0,1,0,0,team1,none,team1
18158,328,549,0,-3,0,-1,0,0,team2,none,team2
18159,242,491,0,0,0,-1,0,0,none,none,team2
18160,455,457,0,0,0,1,0,0,team1,none,team1
18161,250,327,0,0,0,-1,0,0,team1,none,team2
18162,145,539,0,-1,0,-1,0,0,team1,none,team2
18163,215,245,0,-2,0,1,0,0,team2,none,team1
18164,327,328,1,-1,0,-1,1,0,team2,none,team2
18165,450,458,0,-4,0,1,0,0,team2,none,team1
18166,137,441,1,-1,0,1,0,0,team2,none,team1
18167,245,250,1,3,0,1,0,0,team1,none,team1
18168,143,452,1,0,0,1,0,0,team1,none,team1
18169,242,549,0,0,0,0,0,0,none,none,none
18170,137,458,0,1,0,1,0,0,team2,none,team1
18171,145,452,0,-2,0,-1,0,0,team2,none,team2
18172,215,491,0,1,0,-1,0,0,team1,none,team2
18173,441,455,1,3,0,-1,0,0,team1,none,team2
18174,245,327,0,0,0,1,0,0,team1,none,team1
18175,450,457,0,0,0,1,0,0,team1,none,team1
18176,143,539,0,-1,0,1,0,0,team2,none,team1
18177,215,242,1,0,0,-1,0,0,team2,none,team2
18178,250,549,1,4,0,-1,0,0,team2,none,team2
18179,328,491,0,-6,0,-1,0,0,team2,none,team2
18180,215,328,0,-4,0,-1,0,0,team2,none,team2
18181,250,491,1,2,0,1,1,0,team1,none,team1
18182,242,245,0,-7,0,1,0,0,team2,none,team1
18183,327,549,1,2,0,1,0,0,team1,none,team1
18184,260,286,0,-3,0,-1,0,0,team2,none,team2
18185,22,114,0,2,0,1,0,0,team1,none,team1
18186,294,357,1,0,0,1,0,0,none,none,team1
18187,358,396,1,1,0,-1,0,0,team1,none,team2
18188,119,460,1,2,0,1,0,0,team1,none,team1
18189,286,358,1,4,0,1,0,0,team1,none,team1
18190,260,396,0,-1,0,1,0,0,team2,none,team1
18191,357,460,0,0,0,-1,0,0,team1,none,team2
18192,22,119,0,-2,0,-1,0,0,team2,none,team2
18193,114,294,1,1,0,-1,0,0,team2,none,team2
18194,22,396,0,-1,0,-1,0,0,team1,none,team2
18195,260,294,1,-1,0,1,0,0,team2,none,team1
18196,286,460,1,-1,0,-1,0,0,team2,none,team2
18197,114,357,1,0,0,1,0,0,team2,none,team1
18198,119,358,1,0,0,1,0,0,none,none,team1
18199,22,260,1,2,0,1,0,0,team1,none,team1
18200,294,358,1,4,0,1,0,0,team1,none,team1
